param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 dist 	  wgt 
2.660835 	2.695571 	23975.879860 	0.004378 	0.003603 	0.000003 	1.152730 	0.000000 	
2.434722 	2.832708 	25950.984150 	0.001191 	0.002822 	0.000009 	1.247189 	0.000000 	
1.853206 	9.848962 	24580.002333 	0.000682 	0.003511 	0.000005 	1.233920 	0.040521 	
0.845879 	7.455674 	26930.005530 	0.004708 	0.005361 	0.000004 	1.736618 	0.000000 	
1.472266 	7.571752 	25955.669542 	0.002729 	0.005169 	0.000010 	1.328108 	0.000000 	
2.205280 	12.762775 	23779.523148 	0.001026 	0.003339 	0.000003 	1.112226 	0.000000 	
1.477076 	3.320884 	25205.012423 	0.003100 	0.000782 	0.000005 	1.278544 	0.030403 	
2.451547 	-7.010130 	26104.586739 	0.008290 	0.003267 	0.000002 	1.394152 	0.000000 	
2.094516 	5.119880 	26738.659735 	0.005782 	0.002291 	0.000010 	1.353472 	0.000000 	
1.103533 	7.229783 	23509.873991 	0.002685 	0.003359 	0.000004 	1.165747 	0.016500 	
2.512489 	3.747233 	28387.807139 	0.002772 	0.006534 	0.000005 	1.653022 	0.000000 	
1.567252 	12.832700 	22900.912072 	0.002751 	0.002509 	0.000003 	1.069943 	0.000000 	
1.962155 	0.409784 	25068.137773 	0.004360 	0.000251 	0.000011 	1.159052 	0.000000 	
2.288740 	-5.063415 	26177.526070 	0.000484 	0.006846 	0.000005 	1.232603 	0.000000 	
2.036381 	5.422054 	26247.173039 	0.003306 	0.003331 	0.000006 	1.461240 	0.000000 	
1.403154 	10.928377 	25036.899280 	0.001560 	0.004018 	0.000003 	1.257264 	0.000000 	
0.649653 	12.362903 	23831.235948 	0.002617 	0.001497 	0.000001 	1.280434 	0.000000 	
2.020268 	2.609984 	22792.063030 	0.003405 	0.001906 	0.000009 	1.018129 	0.000000 	
1.727765 	6.338619 	26405.787524 	0.001982 	0.005581 	0.000004 	1.323233 	0.000000 	
1.697487 	7.552293 	26776.816297 	0.003915 	0.004174 	0.000003 	1.452784 	0.048299 	
2.481171 	8.113347 	26295.569628 	0.004478 	0.004471 	0.000005 	1.366602 	0.000000 	
1.390916 	2.092526 	26504.946820 	0.002255 	0.004053 	0.000006 	1.458650 	0.047186 	
1.339852 	3.569111 	26592.327431 	0.004830 	0.003279 	0.000006 	1.551157 	0.042388 	
1.641293 	0.884061 	28038.329095 	0.004815 	0.005963 	0.000011 	1.549795 	0.000000 	
0.969101 	0.918114 	25634.552710 	0.000895 	0.001812 	0.000007 	1.373624 	0.055296 	
1.642043 	18.614047 	28725.429894 	0.002651 	0.006856 	0.000007 	1.725252 	0.000000 	
1.367390 	-1.622818 	28512.965071 	0.001495 	0.000872 	0.000001 	1.727779 	0.000000 	
0.914845 	8.267995 	27627.869996 	0.003789 	0.004674 	0.000006 	1.689147 	0.066989 	
2.044295 	9.992478 	27762.827261 	0.001858 	0.006450 	0.000007 	1.432807 	0.000000 	
0.729486 	13.223567 	25817.800874 	0.004538 	0.001365 	0.000007 	1.511430 	0.000000 	
0.265026 	6.015823 	23032.564915 	0.002742 	0.002372 	0.000002 	1.675336 	0.025054 	
0.715592 	5.175259 	26027.397018 	0.004678 	0.002346 	0.000003 	1.548623 	0.051299 	
0.880781 	7.682062 	24734.171420 	0.003715 	0.005221 	0.000001 	1.331245 	0.000000 	
2.207528 	-2.308492 	27786.013317 	0.002852 	0.003761 	0.000008 	1.485105 	0.000000 	
