param#0 	 param#1 	 param#2 	 param#3 	 param#4 	 param#5 	 param#6 	 param#7 	 param#8 	 dist 	  wgt 
0.206282 	0.878478 	2.082674 	0.379315 	0.060194 	0.013404 	-0.002698 	0.007161 	0.414989 	0.625840 	0.000000 	
0.112941 	0.957987 	2.749456 	1.256001 	0.089166 	0.017927 	-0.000558 	0.014346 	0.384173 	0.618667 	0.000000 	
0.287633 	0.994746 	1.137112 	0.755653 	0.039074 	0.021971 	0.000494 	0.010497 	0.303393 	0.901267 	0.000000 	
0.138473 	1.060067 	1.359910 	2.706815 	0.159049 	0.023607 	0.002109 	0.009460 	0.345033 	1.103492 	0.000000 	
0.232454 	1.021532 	1.249443 	1.112388 	0.158044 	0.005214 	0.005889 	0.002765 	0.435397 	1.018009 	0.000000 	
0.258557 	0.999597 	1.917224 	0.477198 	0.033699 	0.017031 	-0.000559 	0.002624 	0.447411 	0.804603 	0.000000 	
0.201749 	1.020056 	1.583688 	0.680929 	0.043599 	0.017672 	0.007463 	-0.000388 	0.473064 	0.739071 	0.000000 	
0.115037 	0.923143 	0.551937 	0.470630 	0.098961 	0.012455 	0.004251 	-0.003474 	0.466235 	0.667395 	0.000000 	
0.289036 	0.907257 	1.561774 	0.512311 	-0.013510 	0.027456 	0.008637 	0.006690 	0.404622 	0.784926 	0.000000 	
0.191138 	0.930378 	1.081435 	0.532609 	-0.009456 	0.020089 	-0.006901 	0.001628 	0.321626 	0.705759 	0.000000 	
0.146750 	1.202185 	2.057120 	0.141964 	0.010560 	0.013080 	-0.001368 	0.008682 	0.477074 	0.771177 	0.000000 	
0.215975 	1.172817 	0.900212 	1.197306 	0.063611 	0.015783 	0.008893 	0.007872 	0.309419 	1.513153 	0.000000 	
0.193522 	1.095115 	1.928178 	0.767562 	0.150137 	0.020758 	0.010302 	0.008997 	0.452263 	0.785132 	0.000000 	
0.190249 	1.084086 	2.173302 	0.168165 	0.038090 	0.025094 	-0.002933 	0.000592 	0.396650 	0.666821 	0.000000 	
0.156127 	1.117282 	1.688975 	1.213435 	0.072332 	0.011385 	0.004296 	0.011210 	0.311074 	0.838154 	0.000000 	
